city,state_id,population
Gainesville,FL,202335.0
Olympia,WA,200915.0
Frisco,TX,200490.0
Yonkers,NY,200370.0
Norwich,CT,200289.0
Spring Valley,NV,199722.0
Glendale,CA,199303.0
Huntington Beach,CA,199223.0
Deltona,FL,198361.0
Aurora,IL,197757.0
Tempe,AZ,195805.0
Overland Park,KS,195494.0
Grand Prairie,TX,194543.0
Sunrise Manor,NV,192934.0
Waco,TX,192315.0
Salinas,CA,190972.0
Waterbury,CT,189614.0
Clarksville,TN,188746.0
Cedar Rapids,IA,188038.0
Sioux Falls,SD,187239.0
Huntington,WV,186034.0
Ontario,CA,185010.0
Hagerstown,MD,184755.0
Erie,PA,184484.0
Vancouver,WA,184463.0
Nampa,ID,184428.0
Spartanburg,SC,182701.0
Gastonia,NC,182581.0
Fort Lauderdale,FL,182437.0
Lorain,OH,180279.0
Murfreesboro,TN,179951.0
High Point,NC,179913.0
Newport News,VA,179225.0
Rancho Cucamonga,CA,177603.0
Hemet,CA,177253.0
Santa Cruz,CA,176428.0
Danbury,CT,176030.0
Peoria,AZ,175961.0
Oceanside,CA,175742.0
Elk Grove,CA,174775.0
Pembroke Pines,FL,173591.0
Vallejo,CA,173256.0
Garden Grove,CA,171644.0
Medford,OR,170876.0
Cary,NC,170282.0
Marysville,WA,170009.0
Corona,CA,169868.0
Ocala,FL,169383.0
Fredericksburg,VA,168909.0
Gainesville,GA,167371.0
Bayamón,PR,165383.0
Enterprise,NV,164314.0
Manchester,NH,162877.0
Champaign,IL,159443.0
Alexandria,VA,159428.0
Hayward,CA,159203.0
Springfield,IL,158509.0
Lakewood,CO,157935.0
Lafayette,IN,157820.0
Frederick,MD,156787.0
Lake Charles,LA,156181.0
Odessa,TX,155998.0
Tuscaloosa,AL,155499.0
Warner Robins,GA,155140.0
Palmdale,CA,155079.0
Hollywood,FL,154817.0
Midland,TX,154793.0
Leesburg,FL,154574.0
Port Arthur,TX,154468.0
Muskegon,MI,153565.0
Macon,GA,153159.0
Kansas City,KS,152960.0
Sunnyvale,CA,152703.0
Pomona,CA,151691.0
Escondido,CA,151625.0
Pasadena,TX,151227.0
New Bedford,MA,149910.0
Fairfield,CA,148683.0
Naperville,IL,148449.0
Bellevue,WA,148164.0
Binghamton,NY,148145.0
Elkhart,IN,147567.0
Topeka,KS,147458.0
Joliet,IL,147344.0
Beaumont,TX,146091.0
Paterson,NJ,145233.0
Merced,CA,145149.0
Pueblo,CO,143932.0
Tyler,TX,143796.0
Torrance,CA,143592.0
Metairie,LA,143481.0
Yuma,AZ,142847.0
Surprise,AZ,141664.0
Columbia,MO,141645.0
Athens,GA,141532.0
Roseville,CA,141500.0
Thornton,CO,141464.0
Miramar,FL,141191.0
Pasadena,CA,141029.0
Mesquite,TX,140937.0
Santa Maria,CA,140545.0
Olathe,KS,140545.0
Houma,LA,140469.0
Carolina,PR,140072.0
Carrollton,TX,139248.0
Grand Junction,CO,139143.0
Charleston,WV,138706.0
Orange,CA,138669.0
Fullerton,CA,138632.0
Greeley,CO,137810.0
Las Cruces,NM,136254.0
Panama City,FL,136133.0
Harlingen,TX,136037.0
West Valley City,UT,135248.0
Ramapo,NY,134571.0
Hampton,VA,134510.0
Warren,MI,133943.0
Mauldin,SC,133872.0
Bloomington,IL,133846.0
Coral Springs,FL,133759.0
Round Rock,TX,133372.0
Yakima,WA,133191.0
Sterling Heights,MI,132438.0
Kent,WA,132319.0
Burlington,NC,131043.0
Bellingham,WA,130641.0
Santa Clara,CA,130365.0
Racine,WI,130142.0
Greenville,NC,130118.0
Stamford,CT,129638.0
Elizabeth,NJ,129216.0
Johnson City,TN,127571.0
Lynchburg,VA,126814.0
Simi Valley,CA,126589.0
Fort Smith,AR,125354.0
Kenosha,WI,124972.0
Amherst,NY,124952.0
South Lyon,MI,124694.0
Boulder,CO,124345.0
Pearland,TX,122460.0
Berkeley,CA,121363.0
Richardson,TX,121323.0
Redding,CA,121313.0
Arvada,CO,121272.0
St. George,UT,120899.0
Billings,MT,120728.0
Yuba City,CA,120456.0
Rochester,MN,119942.0
East Los Angeles,CA,119827.0
Leominster,MA,119690.0
Kingsport,TN,119666.0
Duluth,MN,119476.0
Lehigh Acres,FL,119205.0
Rock Hill,SC,119105.0
Gilroy,CA,118993.0
Cambridge,MA,118927.0
Sugar Land,TX,118488.0
Texas City,TX,118169.0
Iowa City,IA,118041.0
Saginaw,MI,117958.0
Chico,CA,117668.0
Dover,DE,117282.0
Smithtown,NY,117031.0
Norman,OK,116973.0
Clearwater,FL,116946.0
Coeur d'Alene,ID,116834.0
Ponce,PR,116796.0
Seaside,CA,116720.0
Independence,MO,116672.0
West Jordan,UT,116480.0
Abilene,TX,116412.0
Bloomington,IN,115884.0
El Monte,CA,115487.0
Carlsbad,CA,115382.0
North Charleston,SC,115382.0
St. Cloud,MN,115028.0
Temecula,CA,114761.0
Clovis,CA,114584.0
Meridian,ID,114161.0
Brandon,FL,113279.0
Westminster,CO,113166.0
Costa Mesa,CA,113003.0
Monroe,LA,112891.0
Utica,NY,112650.0
Pompano Beach,FL,112118.0
West Palm Beach,FL,111955.0
Waterloo,IA,111631.0
Everett,WA,111475.0
El Centro,CA,111425.0
Santa Fe,NM,111269.0
Downey,CA,111126.0
Lowell,MA,110997.0
Centennial,CO,110937.0
Elgin,IL,110849.0
Richmond,CA,110567.0
Broken Arrow,OK,110198.0
Miami Gardens,FL,110001.0
The Woodlands,TX,109843.0
Bend,OR,109802.0
Burlington,VT,109763.0
Jurupa Valley,CA,109527.0
Sandy Springs,GA,109452.0
Gresham,OR,109381.0
Lewisville,TX,109212.0
Hillsboro,OR,109128.0
San Buenaventura,CA,109106.0
Jacksonville,NC,108856.0
Pottstown,PA,108758.0
Inglewood,CA,108151.0
Spring Hill,FL,107855.0
League City,TX,107536.0
Eau Claire,WI,107404.0
